id,serialNumber,locationName,latitude,longitude,coords_color,address,postalCode,status,rvm_remarks,model,rvm_val2,rvm_val3,rvm_val4,rvmOpeningHours
10,B5481176,Block 54 Geylang Bahru,1.323937,103.867800,Blue,"54 Geylang Bahru, 330054",330054,FULL,,,,,,Mon - Sun:  24 Hrs
139,SGRVM0201,715 Jurong West Street 71,1.343890,103.696390,Red,"715 Jurong West Street 71, 640715",640715,RUNNING,,,,,,Mon - Sun:  24 Hrs
140,SGRVM0202,745 Yishun Street 72,1.429350,103.833170,Red,"745 Yishun Street 72, 760745",760745,FULL,,,,,,Mon - Sun:  24 Hrs
146,SGRVM0208,746 Jurong West Street 73,1.347477,103.697933,Red,"746 Jurong West Street 73, 640746",640746,RUNNING,,,,,,Mon - Sun:  24 Hrs
147,SGRVM0209,153 Yung Ho Rd,1.327560,103.721050,Red,"153 Yung Ho Rd, 610153",610153,FULL,,,,,,Mon - Sun:  24 Hrs
148,SGRVM0210,678D Jurong West Street 64,1.344892,103.703310,Red,"678D Jurong West Street 64, 644678",644678,RUNNING,,,,,,Mon - Sun:  24 Hrs
150,SGRVM0212,931 Jurong West Street 92,1.340302,103.689337,Red,"931 Jurong West Street 92, 640931",640931,FULL,,,,,,Mon - Sun:  24 Hrs
151,SGRVM0213,678A Jurong West Street 64 ,1.345070,103.704219,Red,"678A Jurong West Street 64 , 641678",641678,RUNNING,,,,,,Mon - Sun:  24 Hrs
153,SGRVM0215,255 Yishun Ring Rd,1.434300,103.840620,Red,"255 Yishun Ring Rd, 760255",760255,RUNNING,,,,,,Mon - Sun:  24 Hrs
154,SGRVM0216,277 Yishun Street 22,1.438003,103.836907,Red,"277 Yishun Street 22, 760277",760277,FULL,,,,,,
159,SGRVM0221,907 Jurong West Street 91,1.341070,103.685960,Red,"907 Jurong West Street 91, 640907",640907,FULL,,,,,,Mon - Sun:  24 Hrs
161,SGRVM0223,353 Kang Ching Rd,1.339710,103.720790,Red,"353 Kang Ching Rd, 610353",610353,FULL,,,,,,Mon - Sun:  24 Hrs
162,SGRVM0224,735 Jurong West Street 75,1.345932,103.700761,Red,"735 Jurong West Street 75, 640735",640735,RUNNING,,,,,,Mon - Sun:  24 Hrs
165,SGRVM0227,359 Yung An Rd,1.336032,103.721418,Red,"359 Yung An Rd, 610359",610359,FULL,"This machine is popular and can get busy. If there's a queue or the bin is full, your next best options nearby are Blk 184 Yung Sheng Rd and Blk 337B Tah Ching Rd. Check their status before heading over.",,,,,Mon - Sun:  24 Hrs
166,SGRVM0228,736 Yishun Street 72,1.428844,103.831634,Red,"736 Yishun Street 72, 760736",760736,OFFLINE,,,,,,Mon - Sun:  24 Hrs
167,SGRVM0229,140 Corporation Drive,1.326860,103.723390,Red,"140 Corporation Drive, 610140",610140,FULL,,,,,,Mon - Sun:  24 Hrs
168,SGRVM0230,236 Yishun Ring Rd,1.433970,103.839200,Red,"236 Yishun Ring Rd, 760236",760236,RUNNING,,,,,,Mon - Sun:  24 Hrs
171,SGRVM0233,291 Yishun Street 22,1.436260,103.836730,Red,"291 Yishun Street 22, 760291",760291,RUNNING,,,,,,Mon - Sun:  24 Hrs
172,SGRVM0234,610 Yishun Street 61,1.420497,103.836510,Red,"610 Yishun Street 61, 760610",760610,RUNNING,,,,,,Mon - Sun:  24 Hrs
174,SGRVM0236,101 Yishun Ave 5,1.430470,103.827360,Red,"101 Yishun Ave 5, 760101",760101,RUNNING,,,,,,Mon - Sun:  24 Hrs
176,SGRVM0238,668A Jurong West Street 64,1.341981,103.702755,Red,"668A Jurong West Street 64, 641668",641668,RUNNING,,,,,,Mon - Sun:  24 Hrs
178,SGRVM0240,309 Yishun Ring Rd,1.432090,103.840350,Red,"309 Yishun Ring Rd, 760309",760309,RUNNING,,,,,,Mon - Sun:  24 Hrs
179,SGRVM0241,762 Yishun Street 72,1.425680,103.834260,Red,"762 Yishun Street 72, 760762",760762,RUNNING,,,,,,Mon - Sun:  24 Hrs
181,SGRVM0243,120 Yishun Ring Rd,1.434900,103.829400,Red,"120 Yishun Ring Rd, 760120",760120,RUNNING,,,,,,Mon - Sun:  24 Hrs
183,SGRVM0245,604 Yishun Street 61,1.421677,103.835504,Red,"604 Yishun Street 61, 760604",760604,RUNNING,,,,,,Mon - Sun:  24 Hrs
186,SGRVM0248,260 Boon Lay Dr,1.345157,103.708019,Red,"260 Boon Lay Dr, 640260",640260,RUNNING,,,,,,Mon - Sun:  24 Hrs
187,SGRVM0249,"104 Bukit Batok Central, Block 104",1.349020,103.747300,Red,"104 Bukit Batok Central, Block 104, 650104",650104,RUNNING,,,,,,Mon - Sun:  24 Hrs
188,SGRVM0250,150 Yishun Street 11,1.430840,103.833620,Red,"150 Yishun Street 11, 760150",760150,RUNNING,,,,,,Mon - Sun:  24 Hrs
191,SGRVM0253,115A Ho Ching Rd,1.334350,103.724510,Red,"115A Ho Ching Rd, 611115",611115,FULL,,,,,,Mon - Sun:  24 Hrs
193,SGRVM0255,653A Jurong West Street 61,1.336960,103.696710,Red,"653A Jurong West Street 61, 641653",641653,FULL,,,,,,Mon - Sun:  24 Hrs
194,SGRVM0256,771 Choa Chu Kang Street 54,1.394470,103.749230,Red,"771 Choa Chu Kang Street 54, 680771",680771,RUNNING,,,,,,Mon - Sun:  24 Hrs
197,SGRVM0259,228 Yishun Street 21,1.435412,103.837582,Red,"228 Yishun Street 21, 760228",760228,RUNNING,,,,,,Mon - Sun:  24 Hrs
199,SGRVM0261,165 Yishun Ring Rd,1.435670,103.831610,Red,"165 Yishun Ring Rd, 760165",760165,RUNNING,,,,,,Mon - Sun:  24 Hrs
200,SGRVM0262,528 Jurong West Street 52,1.348370,103.717010,Red,"528 Jurong West Street 52, 640528",640528,RUNNING,,,,,,Mon - Sun:  24 Hrs
202,SGRVM0264,657 Choa Chu Kang Cres,1.400462,103.749739,Red,"657 Choa Chu Kang Cres, 680657",680657,RUNNING,,,,,,Mon - Sun:  24 Hrs
203,SGRVM0265,115 Yishun Ring Rd,1.434502,103.828037,Red,"115 Yishun Ring Rd, 760115",760115,FULL,,,,,,Mon - Sun:  24 Hrs
205,SGRVM0267,216 Boon Lay Ave,1.350470,103.712210,Red,"216 Boon Lay Ave, 640216",640216,RUNNING,,,,,,Mon - Sun:  24 Hrs
206,SGRVM0268,551 Jurong West Street 42,1.352400,103.716960,Red,"551 Jurong West Street 42, 640551",640551,RUNNING,,,,,,Mon - Sun:  24 Hrs
209,SGRVM0271,126 Yishun Street 11,1.433530,103.830090,Red,"126 Yishun Street 11, 760126",760126,FULL,,,,,,Mon - Sun:  24 Hrs
210,SGRVM0272,625 Jurong West Street 61,1.341587,103.698643,Red,"625 Jurong West Street 61, 640625",640625,RUNNING,,,,,,Mon - Sun:  24 Hrs
211,SGRVM0273,190 Boon Lay Dr,1.345153,103.711882,Red,"190 Boon Lay Dr, 640190",640190,RUNNING,,,,,,Mon - Sun:  24 Hrs
212,SGRVM0274,690A Choa Chu Kang Cres,1.402915,103.751555,Red,"690A Choa Chu Kang Cres, 681690",681690,RUNNING,,,,,,Mon - Sun:  24 Hrs
213,SGRVM0275,2 Marsiling Dr,1.439926,103.776121,Red,"2 Marsiling Dr, 730002",730002,RUNNING,,,,,,Mon - Sun:  24 Hrs
214,SGRVM0276,272B Jurong West Street 24,1.350644,103.704978,Red,"272B Jurong West Street 24, 642272",642272,RUNNING,,,,,,Mon - Sun:  24 Hrs
216,SGRVM0279,8 Marsiling Drive,1.441352,103.777211,Red,"8 Marsiling Drive, 730008",730008,RUNNING,,,,,,Mon - Sun:  24 Hrs
218,SGRVM0281,671A Choa Chu Kang Cres,1.402131,103.747893,Red,"671A Choa Chu Kang Cres, 681671",681671,RUNNING,,,,,,Mon - Sun:  24 Hrs
223,SGRVM0286,286 Yishun Ave 6,1.439850,103.838300,Red,"286 Yishun Ave 6, 760286",760286,RUNNING,,,,,,Mon - Sun:  24 Hrs
225,SGRVM0288,201 Marsiling Dr,1.442698,103.775421,Red,"201 Marsiling Dr, 730201",730201,RUNNING,,,,,,Mon - Sun:  24 Hrs
226,SGRVM0289,610 Choa Chu Kang Street 62,1.399450,103.743545,Red,"610 Choa Chu Kang Street 62, 680610",680610,RUNNING,,,,,,Mon - Sun:  24 Hrs
228,SGRVM0290,674A Jurong West Street 65,1.344782,103.702184,Red,"674A Jurong West Street 65, 641674",641674,ERROR,,,,,,Mon - Sun:  24 Hrs
229,SGRVM0291,682A Jurong West Central 1,1.344026,103.705435,Red,"682A Jurong West Central 1, 641682",641682,RUNNING,,,,,,Mon - Sun:  24 Hrs
230,SGRVM0292,134 Marsiling Rd,1.436800,103.777360,Red,"134 Marsiling Rd, 730134",730134,RUNNING,,,,,,Mon - Sun:  24 Hrs
231,SGRVM0293,184 Yung Sheng Rd,1.333360,103.722185,Red,"184 Yung Sheng Rd, 610184",610184,RUNNING,,,,,,Mon - Sun:  24 Hrs
233,SGRVM0295,205 Marsiling Dr,1.444980,103.773460,Red,"205 Marsiling Dr, 730205",730205,RUNNING,,,,,,Mon - Sun:  24 Hrs
234,SGRVM0296,274B Jurong West Street 25,1.352818,103.703150,Red,"274B Jurong West Street 25, 642274",642274,RUNNING,,,,,,Mon - Sun:  24 Hrs
235,SGRVM0297,337B Tah Ching Rd,1.337460,103.722420,Red,"337B Tah Ching Rd, 612337",612337,RUNNING,,,,,,Mon - Sun:  24 Hrs
237,SGRVM0299,668 Choa Chu Kang Cres,1.401872,103.749469,Red,"668 Choa Chu Kang Cres, 680668",680668,RUNNING,,,,,,Mon - Sun:  24 Hrs
239,SGRVM0301,698C Jurong West Central 3,1.340300,103.707710,Red,"698C Jurong West Central 3, 643698",643698,ERROR,,,,,,Mon - Sun:  24 Hrs
240,SGRVM0302,32 Marsiling Dr,1.443404,103.772794,Red,"32 Marsiling Dr, 730032",730032,RUNNING,,,,,,Mon - Sun:  24 Hrs
241,SGRVM0303,667C Jurong West Street 65,1.341330,103.702430,Red,"667C Jurong West Street 65, 643667",643667,RUNNING,,,,,,Mon - Sun:  24 Hrs
244,SGRVM0306,854 Jurong West Street 81,1.347812,103.695788,Red,"854 Jurong West Street 81, 640854",640854,RUNNING,,,,,,Mon - Sun:  24 Hrs
245,SGRVM0307,196B Boon Lay Drive,1.342910,103.714241,Red,"196B Boon Lay Drive, 642196",642196,RUNNING,,,,,,Mon - Sun:  24 Hrs
246,SGRVM0308,276D Jurong West Street 25,1.353560,103.704410,Red,"276D Jurong West Street 25, 644276",644276,RUNNING,,,,,,Mon - Sun:  24 Hrs
247,SGRVM0309,212 Marsiling Cres,1.446190,103.773100,Red,"212 Marsiling Cres, 730212",730212,RUNNING,,,,,,Mon - Sun:  24 Hrs
248,SGRVM0310,920 Jurong West Street 92,1.339941,103.688387,Red,"920 Jurong West Street 92, 640920",640920,RUNNING,,,,,,Mon - Sun:  24 Hrs
249,SGRVM0311,123 Marsiling Rise,1.439209,103.779111,Red,"123 Marsiling Rise, 730123",730123,FULL,,,,,,Mon - Sun:  24 Hrs
250,SGRVM0312,664D Jurong West Street 64,1.339197,103.702718,Red,"664D Jurong West Street 64, 644664",644664,FULL,,,,,,Mon - Sun:  24 Hrs
251,SGRVM0313,744 Jurong West Street 73,1.346812,103.698958,Red,"744 Jurong West Street 73, 640744",640744,RUNNING,,,,,,Mon - Sun:  24 Hrs
252,SGRVM0314,515 Jurong West Street 52,1.346250,103.720407,Red,"515 Jurong West Street 52, 640515",640515,RUNNING,,,,,,Mon - Sun:  24 Hrs
